hum,suhu,jarak,beda,status
58.00,24.70,14.26,14.26,surut
59.00,24.70,13.28,-0.99,banjir
60.00,24.70,13.24,-0.03,banjir
60.00,24.70,13.28,0.03,banjir
60.00,24.70,13.57,0.29,banjir
60.00,24.70,12.87,-0.70,banjir
60.00,24.70,13.28,0.41,banjir
60.00,24.70,12.87,-0.41,banjir
60.00,24.70,12.87,0.00,banjir
60.00,24.70,12.87,0.00,banjir
60.00,24.70,11.48,-1.39,banjir
60.00,24.70,11.81,0.34,banjir
60.00,24.70,11.81,0.00,banjir
60.00,24.70,11.83,0.02,banjir
61.00,24.70,11.81,-0.02,banjir
61.00,24.70,10.78,-1.04,banjir
62.00,24.80,10.08,-0.70,banjir
63.00,24.80,10.06,-0.02,banjir
63.00,24.80,10.08,0.02,banjir
64.00,24.80,10.78,0.70,surut
64.00,24.80,9.72,-1.05,banjir
64.00,24.80,10.42,0.70,surut
64.00,24.80,9.38,-1.04,banjir
64.00,24.80,9.72,0.34,banjir
64.00,24.80,9.72,0.00,banjir
64.00,24.80,11.12,1.39,surut
64.00,24.80,9.37,-1.75,banjir
63.00,24.80,9.72,0.36,banjir
63.00,24.80,10.42,0.70,surut
63.00,24.80,10.78,0.36,banjir
62.00,24.80,9.03,-1.75,banjir
62.00,24.80,9.37,0.34,banjir
62.00,24.80,9.38,0.02,banjir
62.00,24.80,9.38,0.00,banjir
62.00,24.90,8.67,-0.71,banjir
62.00,24.90,8.33,-0.34,banjir
61.00,24.90,8.33,0.00,banjir
61.00,24.90,8.33,0.00,banjir
61.00,24.90,8.35,0.02,banjir
61.00,24.90,8.33,-0.02,banjir
61.00,24.90,8.67,0.34,banjir
61.00,24.90,8.35,-0.32,banjir
61.00,24.90,7.70,-0.65,banjir
61.00,24.90,8.02,0.32,banjir
61.00,24.90,11.48,3.45,surut
62.00,24.90,8.02,-3.45,banjir
62.00,24.90,8.65,0.63,surut
62.00,24.90,8.02,-0.63,banjir
62.00,24.90,8.02,0.00,banjir
63.00,24.90,8.02,0.00,banjir
62.00,24.90,8.02,0.00,banjir
62.00,24.90,8.02,0.00,banjir
62.00,24.90,7.36,-0.66,banjir
61.00,24.90,7.04,-0.32,banjir
61.00,24.90,6.41,-0.63,banjir
61.00,24.90,6.41,0.00,banjir
61.00,24.90,6.41,0.00,banjir
62.00,24.90,6.41,0.00,banjir
62.00,25.00,6.41,0.00,banjir
63.00,25.00,7.05,0.65,surut
63.00,25.00,6.41,-0.65,banjir
62.00,25.00,5.75,-0.66,banjir
62.00,25.00,5.76,0.02,banjir
63.00,25.00,6.07,0.31,banjir
62.00,25.00,5.75,-0.32,banjir
62.00,25.00,5.76,0.02,banjir
62.00,25.00,5.12,-0.65,banjir
62.00,25.00,5.75,0.63,surut
62.00,25.00,5.75,0.00,banjir
62.00,25.00,5.76,0.02,banjir
61.00,25.00,5.75,-0.02,banjir
61.00,25.00,5.75,0.00,banjir
61.00,25.00,5.76,0.02,banjir
61.00,25.00,5.75,-0.02,banjir
60.00,25.00,5.12,-0.63,banjir
60.00,25.00,5.44,0.32,banjir
60.00,25.00,4.47,-0.97,banjir
60.00,25.10,5.12,0.65,surut
61.00,25.00,5.42,0.31,banjir
61.00,25.10,5.42,0.00,banjir
61.00,25.10,4.78,-0.65,banjir
61.00,25.10,5.10,0.32,banjir
61.00,25.10,4.47,-0.63,banjir
61.00,25.10,4.79,0.32,banjir
61.00,25.10,4.78,-0.02,banjir
62.00,25.10,4.79,0.02,banjir
63.00,25.10,5.12,0.32,banjir
63.00,25.10,5.10,-0.02,banjir
63.00,25.10,4.13,-0.97,banjir
64.00,25.10,4.78,0.65,surut
64.00,25.10,3.83,-0.95,banjir
64.00,25.10,3.81,-0.02,banjir
64.00,25.10,3.83,0.02,banjir
64.00,25.10,3.48,-0.34,banjir
64.00,25.10,3.18,-0.31,banjir
63.00,25.10,3.81,0.63,surut
62.00,25.10,3.50,-0.31,banjir
62.00,25.10,3.50,0.00,banjir
62.00,25.10,3.48,-0.02,banjir
62.00,25.10,3.50,0.02,banjir
62.00,25.10,3.50,0.00,banjir
62.00,25.20,3.81,0.31,banjir
62.00,25.20,3.18,-0.63,banjir
62.00,25.20,3.16,-0.02,banjir
62.00,25.20,3.50,0.34,banjir
63.00,25.20,3.48,-0.02,banjir
63.00,25.20,3.50,0.02,banjir
63.00,25.20,3.48,-0.02,banjir
63.00,25.20,3.81,0.32,banjir
62.00,25.20,3.81,0.00,banjir
62.00,25.20,3.81,0.00,banjir
62.00,25.20,3.81,0.00,banjir
61.00,25.20,3.50,-0.31,banjir
61.00,25.20,3.16,-0.34,banjir
61.00,25.20,3.18,0.02,banjir
61.00,25.20,3.16,-0.02,banjir
61.00,25.20,3.48,0.32,banjir
61.00,25.20,3.83,0.34,banjir
61.00,25.20,3.50,-0.32,banjir
61.00,25.20,4.45,0.95,surut
61.00,25.20,4.47,0.02,banjir
60.00,25.20,3.81,-0.66,banjir
59.00,25.20,5.75,1.94,surut
59.00,25.20,6.07,0.32,banjir
59.00,25.20,6.09,0.02,banjir
59.00,25.20,7.36,1.28,surut
60.00,25.20,7.38,0.02,banjir
60.00,25.30,7.68,0.31,banjir
60.00,25.30,7.04,-0.65,banjir
60.00,25.30,7.70,0.66,surut
60.00,25.30,7.70,0.00,banjir
60.00,25.30,8.35,0.65,surut
60.00,25.30,10.08,1.73,surut
59.00,25.30,9.38,-0.70,banjir
59.00,25.30,9.38,0.00,banjir
58.00,25.30,9.38,0.00,banjir
58.00,25.20,11.12,1.73,surut
57.00,25.20,11.12,0.00,banjir
57.00,25.20,10.78,-0.34,banjir
57.00,25.20,11.81,1.04,surut
56.00,25.20,11.83,0.02,banjir
56.00,25.20,12.51,0.68,surut
56.00,25.20,13.21,0.70,surut
56.00,25.20,12.15,-1.05,banjir
57.00,25.20,15.30,3.15,surut
57.00,25.20,16.29,0.99,surut
57.00,25.20,17.88,1.60,surut
58.00,25.30,15.30,-2.58,banjir
58.00,25.30,15.64,0.34,banjir
58.00,25.30,15.30,-0.34,banjir
58.00,25.30,16.29,0.99,surut
58.00,25.30,18.53,2.24,surut
57.00,25.30,17.88,-0.65,banjir
57.00,25.30,17.56,-0.32,banjir
57.00,25.30,17.56,0.00,banjir
58.00,25.30,21.06,3.50,surut
58.00,25.30,22.03,0.97,surut
57.00,25.30,20.11,-1.92,banjir
57.00,25.30,20.43,0.32,banjir
57.00,25.30,19.81,-0.63,banjir
57.00,25.30,20.74,0.93,surut
56.00,25.30,19.79,-0.95,banjir
57.00,25.30,19.79,0.00,banjir
57.00,25.30,19.48,-0.31,banjir
57.00,25.30,20.11,0.63,surut
57.00,25.30,20.43,0.32,banjir
56.00,25.30,20.74,0.31,banjir
56.00,25.30,21.06,0.32,banjir
56.00,25.30,21.39,0.32,banjir
55.00,25.30,22.03,0.65,surut
55.00,25.30,21.39,-0.65,banjir
55.00,25.30,22.34,0.95,surut
55.00,25.30,22.34,0.00,surut
54.00,25.30,22.34,0.00,surut
53.00,25.30,22.34,0.00,surut
53.00,25.30,22.34,0.00,surut
53.00,25.30,22.63,0.29,surut
53.00,25.30,22.63,0.00,surut
53.00,25.30,22.34,-0.29,surut
53.00,25.30,22.92,0.58,surut
54.00,25.30,21.39,-1.53,banjir
54.00,25.30,24.38,2.99,surut
54.00,25.30,23.78,-0.59,surut
54.00,25.30,22.92,-0.87,surut
53.00,25.30,24.94,2.02,surut
53.00,25.30,24.94,0.00,surut
53.00,25.30,25.52,0.58,surut
53.00,25.30,26.09,0.58,surut
54.00,25.30,26.38,0.29,surut
55.00,25.30,26.38,0.00,surut
55.00,25.30,26.38,0.00,surut
56.00,25.30,28.41,2.02,surut
57.00,25.40,28.12,-0.29,surut
57.00,25.40,27.83,-0.29,surut
57.00,25.40,27.54,-0.29,surut
57.00,25.40,29.00,1.46,surut
57.00,25.40,28.71,-0.29,surut
57.00,25.40,28.71,0.00,surut
57.00,25.40,29.00,0.29,surut
56.00,25.40,30.06,1.05,surut
56.00,25.40,29.80,-0.25,surut
55.00,25.40,30.06,0.25,surut
55.00,25.40,30.06,0.00,surut
55.00,25.40,30.58,0.53,surut
54.00,25.40,30.57,-0.02,surut
54.00,25.40,29.78,-0.78,surut
53.00,25.40,29.78,0.00,surut
53.00,25.40,29.80,0.02,surut
52.00,25.40,29.80,0.00,surut
52.00,25.40,29.80,0.00,surut
52.00,25.40,29.80,0.00,surut
53.00,25.40,29.80,0.00,surut
54.00,25.40,29.80,0.00,surut
54.00,25.40,30.06,0.25,surut
55.00,25.40,29.00,-1.05,surut
55.00,25.40,28.71,-0.29,surut
56.00,25.40,28.14,-0.58,surut
55.00,25.40,29.00,0.87,surut
56.00,25.40,26.96,-2.04,surut
55.00,25.40,27.25,0.29,surut
54.00,25.40,27.25,0.00,surut
54.00,25.40,27.56,0.31,surut
54.00,25.40,26.09,-1.46,surut
53.00,25.40,25.81,-0.29,surut
52.00,25.40,25.81,0.00,surut
52.00,25.40,25.52,-0.29,surut
51.00,25.40,24.36,-1.16,surut
51.00,25.40,24.67,0.31,surut
51.00,25.40,24.94,0.27,surut
51.00,25.40,24.94,0.00,surut
53.00,25.30,23.49,-1.44,surut
54.00,25.30,23.49,0.00,surut
53.00,25.30,22.92,-0.58,surut
53.00,25.30,22.92,0.00,surut
52.00,25.30,21.71,-1.21,banjir
52.00,25.30,22.63,0.92,surut
51.00,25.30,21.71,-0.92,banjir
51.00,25.30,21.71,0.00,banjir
51.00,25.30,21.39,-0.32,banjir
50.00,25.30,21.71,0.32,banjir
50.00,25.30,21.39,-0.32,banjir
50.00,25.30,20.43,-0.95,banjir
49.00,25.30,19.48,-0.95,banjir
49.00,25.20,20.11,0.63,surut
